Domain	Phylum	Class	Order	Family	Genus
ac3abd701e2a356ac0d44cae283853ff	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkaliflexus
ee17e03d8b802f38802a6cc3967b44e5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Marinilabiliaceae_unclassified
51d96e96a3350beedece3878d6d0b3e7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
85af00914f93dfa68adc3d8d801d1ddc	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
8d3d348097758bbf864c483f275527cc	Bacteria	Verrucomicrobiota	Verrucomicrobiae	LD1-PB3	LD1-PB3_fa	LD1-PB3_ge
08954d37c773c665b4ed9b3a24ea602d	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group_fa	Clostridia_vadinBB60_group_ge
582cecf62afd233d31027ff80d2b63cd	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
a2b73c414910bf63bc8b9b0694dbab7d	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga
1d9f80e0b89d8ea47a19d49518bc2fee	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
715793a7ecc9e86f6cec06f317c2e798	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
17b1ff4823881f68e22fbcca77d5890b	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans
14aaec1f43194f8fdd37df9243434fc9	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thioalkalimicrobium
8cea9ec7c73a92f66582620c59aad19b	Bacteria	Patescibacteria	ABY1	Candidatus_Kerfeldbacteria	Candidatus_Kerfeldbacteria_fa	Candidatus_Kerfeldbacteria_ge
951f7396259f2f458ffef27499b7cd58	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
2c12d8915695dad71991bedbce7b0b96	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomicaceae_unclassified
5d6c42bbeb2eb533311a63b05f5e0b74	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales_fa	Aminicenantales_ge
94e0db00f61f38a671e947b40cb1fefa	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
b79daf1ba0a00abf986457bdb727e409	Bacteria	Caldatribacteriota	JS1	JS1_or	JS1_fa	JS1_ge
d2d71a3c98638c582301dc1ce2e58a08	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
df7d4619bae3c7da093985420c07d217	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	AKAU3564_sediment_group_ge
a4e978145c8df970e2483aab48fbfa97	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_unclassified	Woesearchaeales_unclassified
b6a4a0a10ed2d2a8925d769734568a0d	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5_ge
d02b696f5e64b7c3da94cab072cc6d50	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5_ge
ee704a45e7c68dd7bf3149a819cd89e3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae_ge
35f704fd582471f785cd55d40bc43d3a	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
8594ace06c385009ff3a3883dc148eea	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	Candidatus_Woesebacteria_fa	Candidatus_Woesebacteria_ge
5107d96ffab96cb9901e7b7d39776e3b	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gillisia
ecae36893afa152ae7ca13c71943ae3e	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
8cec716a35b55dc4983bda09c532658e	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
3f7685ad9699338dce46c1abdc4e79b9	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured_fa	uncultured_ge
f856de5762f1474d10e06eebdca2618b	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc_PCC-73102
1f4da4b16ec046b5654f0b59b8ea32e6	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
e34d0d1bbdc559ffde59e07e733bfd1b	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Planktosalinus
1f8095e2e97c162e9eac57bb2e1e95bc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
5c793cde2b4bf3f7676727c830876565	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae_unclassified
621b1dfe6ec18e077c26845f3ce8340b	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca
73ebf9c65c034ca47e238fef239f7dae	Bacteria	Caldatribacteriota	JS1	JS1_or	JS1_fa	JS1_ge
4f0b1cbe3e863dbac67ce852b3f48bbb	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonadaceae_unclassified
fe621f9c22b20c7962aaa122094b8ce3	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	JTB255_marine_benthic_group
6274036779639e8f4a7a75d4b734a6f4	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
03ead9c08f49afc5b2a0e86fa0651ca4	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
a8e81471d11c7265f8f8646fb911c34c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
320defbe687eabba720da1d9a3835809	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
b60f86e10b50ef2daaacead9154a80b0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus
6ce89e5734afdb3df3e770864eff4fa3	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
386e24fb4b44fe5d702a4675751ec82d	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Planktosalinus
3b49b0d0c4833f70976fc1aa9b4c5767	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Aquiflexum
ff8ee4e2e914c0f066d0ddb3409ac654	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
